bats,height,person,source,thorws,throws,weight
Left,,_subject,data/morris/1915RioGrandeValley/ArizonaRepublic/6,,Left,
,,_subject,data/morris/1915RioGrandeValley/ElPasoHerald/32,,Left,
,,_subject,data/morris/1915RioGrandeValley/ElPasoHerald/37,,Left,
,,_subject,data/morris/1915RioGrandeValley/ElPasoHerald/38,,Left,
,,_subject,data/morris/1915RioGrandeValley/ElPasoHerald/107,,Left,
,,_subject,data/morris/1915RioGrandeValley/ElPasoHerald/112,,Left,
,,_subject,data/morris/1915RioGrandeValley/MarshalltownEveningTimesRepublican/1,,Right,
,,_subject,data/morris/1915RioGrandeValley/SanJoseMercuryNews/1,,Left,
,,_subject,data/morris/1915SouthAtlantic/AugustaChronicle/7,,Left,
Right,,_subject,data/morris/1915SouthAtlantic/AugustaChronicle/8,,Left,
,,_subject,data/morris/1915SouthAtlantic/CharlestonPos/2,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/1,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/11,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/12,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/16,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/19,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/29,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/33,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaRecord/72,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/2,,Left,
Left,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/18,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/65,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/66,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/67,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/70,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/71,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/72,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/74,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/102,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/103,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/104,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/105,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/106,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/107,,Left,
Left,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/108,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/113,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/126,,Left,
Left,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/159,,,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/162,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/191,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/192,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/193,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/194,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/195,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/198,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/208,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/214,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/220,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/222,,Right,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/234,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/239,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/263,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/278,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/300,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/307,,Left,
Left,,_subject,data/morris/1915SouthAtlantic/ColumbiaState/312,,Left,
,,_subject,data/morris/1915SouthAtlantic/ColumbusEnquirer/5,,Left,
