caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
semi-pro,Akron,1915,,,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/1,,player,
,Newark,1915,,Buckeye,,_subject,,CF,,morris/1915Buckeye/AkronBeaconJournal/2,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/3,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/3,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/4,,player,
,Newark,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/AkronBeaconJournal/5,,player,
,Youngstown Steelmen,1915,,unknown,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/5,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/6,,player,
semi-pro,Crestline,1914,,Trolley,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/6,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/7,,player,
,,,,Ohio & Pennsylvania,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/7,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronBeaconJournal/8,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/9,,player,
,Traverse City,1914,,Michigan State,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/9,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/10,,player,
Semi pro,Toledo,1915,,,,_subject,,,,morris/1915Buckeye/AkronBeaconJournal/10,,player,
,Akron,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/AkronEveningTimes/1,,player,
,Akron,1915,,Buckeye,,_subject,,RF,,morris/1915Buckeye/AkronEveningTimes/2,,player,
,,,,Ohio State,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/2,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/3,,player,
Semi pro,,1914,,,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/3,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/4,,player,
,,1914,,Interstate,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/4,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/5,,player,
,Akron,,,Interstate,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/5,,player,
,Columbus,,,Interstate,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/5,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronEveningTimes/6,,player,
,,1914,,Ohio State,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/6,,player,
,akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronEveningTimes/7,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/8,,player,
Semi pro,Arlington A.C.,1914,,,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/8,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/9,,player,
Semi pro,Marotta,1914,,,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/9,,player,
,Akron,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/AkronEveningTimes/10,,player,
,,1914,,Illinois-Indiana-Iowa,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/10,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/AkronEveningTimes/11,,player,
,,1914,,Ohio State,,_subject,,,,morris/1915Buckeye/AkronEveningTimes/11,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/1,,manager,
,Canton,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/2,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/3,,manager,
,Mobile,1906,,Southern,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/3,,player,
,Decatur,1907,,Illinois-Indiana-Iowa,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/3,,player,
,Decatur,1908,,Illinois-Indiana-Iowa,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/3,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/4,,player,
,Zanesville,1912,,Central,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/4,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/5,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/6,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/7,,player,
,Paterson,1914,,Atlantic,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/7,,player,
,Canton,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/CantonEveningRepository/8,,player,
,Canton,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/9,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/10,,player,
,Canton,1912,,Central,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/10,,player,
,Canton,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/11,,player,
,Canton,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/12,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/13,,player,
,Canton,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/14,,player,
,Canton,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/15,,player,
,Akron,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/16,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/17,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/18,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/19,,player,
,Zanesville,,,,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/19,,player,
,Canton,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/20,,player,
,Canton,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/21,,player,
,Portsmouth,1915,,Ohio State,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/21,,player,
semi-pro,Bartletts,1914,,Canton City,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/21,,player,
,Canton,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/22,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/23,,owner,
,Akron,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/24,,player,
,Canton,1915,,Buckeye,,_subject,,Of,,morris/1915Buckeye/CantonEveningRepository/25,,player,
semi-pro,Salineville,,,,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/25,,player,
,,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/26,,umpire,
,Tacoma,1896,,,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/26,,player,
,Wheeling,1899,,Central,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/26,,player,
,Dayton,1899,,Central,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/26,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/27,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/28,,player,
,Portsmouth,1915,,Ohio State,,_subject,,SS,,morris/1915Buckeye/CantonEveningRepository/29,,player,
semi-pro,Bakos,1915,,,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/29,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/30,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/31,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/32,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/33,,player,
,Marion,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/34,,player,
,Lima,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/35,,manager,
,Lima,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/36,,player,
,Milwaukee,1914,,American Association,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/36,,player,
college,Ohio Northern University,,,,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/36,,player,
,Lima,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/CantonEveningRepository/37,,player,
,St. Louis,,,American,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/37,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/38,,player,
semi-pro,Knight Tires,1915,,Canton Shop,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/38,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/39,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/40,,manager,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/41,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/42,,player,
,,1914,,Northern,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/42,,player,
,Canton,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/43,,player,
,,,,Central,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/43,,player,
,,,,Texas,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/43,,player,
,Newark,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/CantonEveningRepository/44,,player,
,Newark,1915,,Buckeye,,_subject,,2B,,morris/1915Buckeye/CantonEveningRepository/45,,player,
,Newark,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/46,,player,
,Newark,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/47,,player,
,Newark,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/CantonEveningRepository/48,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/49,,manager,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/50,,player,
,Newark,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/CantonEveningRepository/51,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/52,,player,
,Akron,1915,,Buckeye,,_subject,,2B,,morris/1915Buckeye/CantonEveningRepository/53,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CantonEveningRepository/54,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/55,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/56,,player,
semi-pro,,1914,,Canton City,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/56,,player,
,Canton,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/CantonEveningRepository/57,,player,
,Newark,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/CantonEveningRepository/57,,player,
,Akron,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/CantonEveningRepository/58,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CantonEveningRepository/58,,player,
,Chillicothe,1915,,Ohio State,,_subject,,C,,morris/1915Buckeye/ChillicotheGazette/1,,player,
,Chillicothe,1915,,Ohio State,,_subject,,,,morris/1915Buckeye/ChillicotheGazette/2,,player,
college,University of Tennessee,,,,,_subject,,,,morris/1915Buckeye/ChillicotheGazette/2,,player,
,Philadelphia,,,National,,_subject,,,,morris/1915Buckeye/ChillicotheGazette/2,,player,
,Chillicothe,1915,,Ohio State,,_subject,,C,,morris/1915Buckeye/ChillicotheGazette/3,,player,
,Chillicothe,1915,,Ohio State,,_subject,,C,,morris/1915Buckeye/ChillicotheGazette/4,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/ChillicotheGazette/5,,player,
,Chillicothe,1915,,Ohio State,,_subject,,,,morris/1915Buckeye/ChillicotheGazette/5,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CincinnatiEnquirer/1,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CincinnatiEnquirer/2,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/CincinnatiEnquirer/3,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/CoshoctonMorningTribune/1,,player,
,Streator,1914,,Illinois-Missouri,,_subject,,P,,morris/1915Buckeye/CoshoctonMorningTribune/1,,player,
,Hamilton,1913,,Ohio State,,_subject,,,,morris/1915Buckeye/HamiltonEveningJournal/1,,player,
,Chillicothe,1915,,Ohio State,,_subject,,,,morris/1915Buckeye/LancasterEagleGazette/1,,player,
,Lima,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/1,,manager,
,,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/2,,umpire,
,Lima,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/3,,player,
,Lima,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/LimaNews/4,,player,
,Milwaukee,1915,,American Association,,_subject,,C,,morris/1915Buckeye/LimaNews/4,,player,
semi-pro,Lima,1914,,,,_subject,,,,morris/1915Buckeye/LimaNews/4,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/5,,manager,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/6,,player,
,Terre Haute,,,Central,,_subject,,,,morris/1915Buckeye/LimaNews/6,,player,
,Lima,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/LimaNews/7,,player,
,Terre Haute,,,Central,,_subject,,,,morris/1915Buckeye/LimaNews/7,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/8,,player,
,Sioux City,1915,,Western,,_subject,,P,,morris/1915Buckeye/LimaNews/8,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/9,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/10,,player,
,Chattanooga,1915,,Southern Association,,_subject,,P,,morris/1915Buckeye/LimaNews/10,,player,
,Muskegon,1914,,Michigan State,,_subject,,P,,morris/1915Buckeye/LimaNews/10,,player,
,Lima,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/LimaNews/11,,player,
,,,,Michigan State,,_subject,,,,morris/1915Buckeye/LimaNews/11,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/12,,player,
,Lima,1915,,Buckeye,,_subject,,C/1B,,morris/1915Buckeye/LimaNews/13,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/14,,manager,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/15,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/16,,player,
,Akron,,,Ohio-Pennsylvania,,_subject,,,,morris/1915Buckeye/LimaNews/16,,player,
,,,,Tri-State,,_subject,,,,morris/1915Buckeye/LimaNews/16,,player,
,Newark,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/17,,player,
,Lima,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/LimaNews/18,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/19,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/20,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/21,,player,
,Marion,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/LimaNews/22,,player,
,Marion,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/LimaNews/23,,player,
,Marion,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/LimaNews/24,,player,
,Mansfield,,,Ohio State,,_subject,,,,morris/1915Buckeye/LimaNews/24,,player,
,Racine,1914,,Wisconsin-Illinois,,_subject,,,,morris/1915Buckeye/LimaNews/24,,player,
,Newark,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/25,,player,
,Lima,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/LimaNews/26,,player,
,,,,Michigan State,,_subject,,,,morris/1915Buckeye/LimaNews/26,,player,
,Lima,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/LimaNews/27,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/28,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/29,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/30,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/31,,player,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/32,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/32,,player,
,Canton,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/LimaNews/33,,player,
,Albany,1914,,South Atlantic,,_subject,,OF,,morris/1915Buckeye/LimaNews/33,,player,
,Canton,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/LimaNews/34,,player,
,Paterson,1914,,Atlantic,,_subject,,,,morris/1915Buckeye/LimaNews/34,,player,
,Lima,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/LimaNews/35,,player,
,,,,Virginia State,,_subject,,OF,,morris/1915Buckeye/LimaNews/35,,player,
,St. Louis,1908-1911,,American,,_subject,,,,morris/1915Buckeye/LimaNews/35,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/36,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/37,,player,
semi-pro,Lima,1914,,,,_subject,,P,,morris/1915Buckeye/LimaNews/37,,player,
,Evansville,1915,,Central,,_subject,,P,,morris/1915Buckeye/LimaNews/37,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/38,,player,
semi-pro,Lima,1914,,,,_subject,,,,morris/1915Buckeye/LimaNews/38,,player,
semi-pro,Bellefontaine Greys,1914,,,,_subject,,,,morris/1915Buckeye/LimaNews/38,,player,
,Lima,1915,,Buckeye,,_subject,,LF,,morris/1915Buckeye/LimaNews/39,,player,
,,,,American,,_subject,,,,morris/1915Buckeye/LimaNews/39,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/40,,player,
,Lansing,1914,,Southern Michigan,,_subject,,P,,morris/1915Buckeye/LimaNews/40,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/41,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/42,,player,
,Columbus,1915,,American Association,,_subject,,,,morris/1915Buckeye/LimaNews/42,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/43,,player,
,Lima,1915,,Buckeye,,_subject,,RF,,morris/1915Buckeye/LimaNews/44,,player,
,Findlay,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/45,,manager,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/46,,player,
,Lima,1915,,Buckeye,,_subject,,RF,,morris/1915Buckeye/LimaNews/47,,player,
,,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/48,,umpire,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/49,,player,
,Newark,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/50,,player,
,Findlay,1915,,Buckeye,,_subject,,IF,,morris/1915Buckeye/LimaNews/51,,player,
semi-pro,Bellefontaine,,,,,_subject,,,,morris/1915Buckeye/LimaNews/51,,player,
,Akron,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/52,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/53,,player,
,Marion,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/54,,player,
,Marion,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/55,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/56,,player,
,,,,American Association,,_subject,,,,morris/1915Buckeye/LimaNews/56,,player,
,Newark,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/LimaNews/57,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/58,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/58,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/59,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/59,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/60,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/60,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/61,,player,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/61,,player,
,Canton,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/62,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/63,,player,
semi-pro,Bellefontaine,1915,,,,_subject,,,,morris/1915Buckeye/LimaNews/63,,player,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/64,,player,
,Lima,1915,,Buckeye,,_subject,,LF,,morris/1915Buckeye/LimaNews/65,,player,
,Canton,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/65,,player,
,Lima,1915,,Buckeye,,_subject,,C,,morris/1915Buckeye/LimaNews/66,,player,
,Lima,1915,,Buckeye,,_subject,,CF,,morris/1915Buckeye/LimaNews/67,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/68,,player,
,Marion,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/68,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/69,,player,
,,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/70,,umpire,
semi-pro,Lima Independents,1915,,,,_subject,,,,morris/1915Buckeye/LimaNews/71,,player,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/72,,player,
,Lima,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/LimaNews/73,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/74,,player,
,,,,Ohio State,,_subject,,P,,morris/1915Buckeye/LimaNews/74,,player,
,Lima,1915,,Buckeye,,_subject,,3B,,morris/1915Buckeye/LimaNews/75,,player,
,Newark,1915,,Buckeye,,_subject,,2B,,morris/1915Buckeye/LimaNews/76,,player,
college,Denison University,1915,,,,_subject,,,,morris/1915Buckeye/LimaNews/76,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/77,,player,
,,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/LimaNews/78,,umpire,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/79,,player,
semi-pro,Lima Independents,1915,,,,_subject,,,,morris/1915Buckeye/LimaNews/79,,player,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/80,,player,
,Lima,1915,,Buckeye,,_subject,,1B,,morris/1915Buckeye/LimaNews/81,,player,
,Cleveland,1915,,American,,_subject,,,,morris/1915Buckeye/LimaNews/81,,player,
,Akron,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/82,,player,
,Lima,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/LimaNews/83,,player,
semi-pro,Lima Independents,1915,,,,_subject,,,,morris/1915Buckeye/LimaNews/83,,player,
,Findlay,1915,,Buckeye,,_subject,,SS,,morris/1915Buckeye/LimaNews/84,,player,
semi-pro,Marysville,1915,,,,_subject,,P,,morris/1915Buckeye/LimaNews/84,,player,
semi-pro,Ottawa,1915,,,,_subject,,P,,morris/1915Buckeye/LimaNews/85,,player,
,Lima,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/LimaNews/86,,player,
college,Ohio State University,,,,,_subject,,P,,morris/1915Buckeye/LimaNews/86,,player,
,Youngstown,1912,,Central,,_subject,,,,morris/1915Buckeye/LimaNews/87,,player,
,Mansfield,,,,,_subject,,,,morris/1915Buckeye/LimaNews/87,,player,
Semi pro,Crestline,1911,,,,_subject,,,,morris/1915Buckeye/MansfieldNewsJournal/1,,player,
,Lancaster,1910,,Ohio State,,_subject,,,,morris/1915Buckeye/MansfieldNewsJournal/1,,player,
,Marion,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/MarionStar/1,,player,
,Mansfield,,,Ohio State,,_subject,,,,morris/1915Buckeye/MarionStar/1,,player,
,Huntington,1914,,Ohio State,,_subject,,,,morris/1915Buckeye/MarionStar/1,,player,
,Marion,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/MarionStar/2,,player,
,Charleston,1914,,Ohio State,,_subject,,,,morris/1915Buckeye/MarionStar/2,,player,
,Marion,1915,,Buckeye,,_subject,,RF,,morris/1915Buckeye/MarionStar/3,,player,
,Marion,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/MarionStar/4,,player,
,Lima,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/NewarkDailyAdvocate/1,,manager,
,Muskegon,1914,,Michigan State,,_subject,,,,morris/1915Buckeye/NewarkDailyAdvocate/1,,manager,
,Akron,1915,,Buckeye,,_subject,,,,morris/1915Buckeye/NewarkDailyAdvocate/2,,manager,
,Findlay,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/NewarkDailyAdvocate/3,,player,
,,,,Ohio State,,_subject,,,,morris/1915Buckeye/NewarkDailyAdvocate/3,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/NewarkDailyAdvocate/4,,player,
,Newark,1915,,Buckeye,,_subject,,P,,morris/1915Buckeye/NewarkDailyAdvocate/5,,player,
,Newark,1915,,Buckeye,,_subject,,OF,,morris/1915Buckeye/NewarkDailyAdvocate/6,,player,
,Newark,1915,,Buckeye,,_subject,,2B,,morris/1915Buckeye/NewarkDailyAdvocate/7,,player,
