caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Oklahoma City,1914,,Western Association,,data/MZBXWJX,,,data/blau/blau-20170115,,player,,Ted,,Herbert,,Lefty,
,Hastings,1912,,Nebraska State League,,data/MBRCKMJ,,,data/blau/blau-20171001,,player,,,,Herche,,Bugs,
,St. Petersburg,1924,,Florida State League,,data/NWGBXRZ,,,data/blau/blau-20170319,,player,,Jose,,Hernandez,,,
,St. Petersburg,1925,,Florida State League,,data/NWGBXRZ,,,data/blau/blau-20170319,,player,,Jose,,Hernandez,,,
,Fort Myers,1926,,Florida State League,,data/NWGBXRZ,,,data/blau/blau-20170319,,player,,Jose,,Hernandez,,,
,High Point,1924,,Piedmont League,,data/SYRFXYY,,,data/blau/blau-20170521,,player,,Hardin,,Herndon,,,
,Danville,1925,,Piedmont League,,data/SYRFXYY,,,data/blau/blau-20170521,,player,,Hardin,,Herndon,,,
,Shreveport,1909,,Texas League,,data/SQGVBPS,,,data/blau/blau-20170115,,player,,Joseph,,Herold,,,
,Newark/Piqua,1911,,Ohio State League,,data/SQGVBPS,,,data/blau/blau-20170115,,player,,Joseph,,Herold,,,
,Macon,1913,,South Atlantic League,,data/SQGVBPS,,,data/blau/blau-20170115,,player,,Joseph,,Herold,,,
