caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Burlington/Ottumwa,1916,,Central Association,,data/FBHRRZG,,,data/blau/blau-20170122,,player,,Prophet,D. C.,Harmon,,,
,Cedar Rapids,1916,,Central Association,,data/FBHRRZG,,,data/blau/blau-20170122,,player,,Prophet,D. C.,Harmon,,,
,Cedar Rapids,1917,,Central Association,,data/FBHRRZG,,,data/blau/blau-20170122,,player,,Prophet,D. C.,Harmon,,,
,Hastings,1912,,Nebraska State League,,data/QZPTVCV,,,data/blau/blau-20171001,,player,,,,Harms,,,
,Mesa,1929,,Arizona State League,,data/FNRPCXJ,,,data/blau/blau-20170319,,player,,Ed,,Harper,,,
,San Jose,1913,,California League,,data/LKPDHNT,,,data/blau/blau-20170521,,player,,Harry,,Harper,,,
,Los Angeles,1914,,Pacific Coast League,,data/LKPDHNT,,,data/blau/blau-20170521,,player,,Harry,,Harper,,,
,Hartford,1929,,Eastern League,,data/ZZVZPGK,,,data/blau/blau-20171030,,player,,Dick,,Harrell,,,
,Providence,1929,,Eastern League,,data/ZZVZPGK,,,data/blau/blau-20171030,,player,,Dick,,Harrell,,,
,Canton,1930,,Central League,,data/ZZVZPGK,,,data/blau/blau-20171030,,player,,Dick,,Harrell,,,
,Joplin,1908,,Western Association,,data/NGGYFKT,,,data/blau/blau-20170122,,player,,Guy,,Harrington,,,
,Muskogee,1909,,Western Association,,data/NGGYFKT,,,data/blau/blau-20170122,,player,,Guy,,Harrington,,,
,Waterloo,1910,,Illinois-Indiana-Iowa League,,data/NGGYFKT,,,data/blau/blau-20170122,,player,,Guy,,Harrington,,,
,Waterloo,1911,,Illinois-Indiana-Iowa League,,data/NGGYFKT,,,data/blau/blau-20170122,,player,,Guy,,Harrington,,,
,Fall River,1914,,Colonial League,,data/WCLQBXQ,,,data/blau/blau-20180331,,player,,Joe,,Harrington,,,
,Paterson,1914,,Atlantic League,,data/QPBCRHF,,,data/blau/blau-20180331,,player,,Herbert,Herbert,Harris,,Sport,
,Jersey City,1914,,International League,,data/QPBCRHF,,,data/blau/blau-20180331,,player,,Herbert,Herbert,Harris,,Sport,
,Charleston,1914,,South Atlantic League,,data/RZTXVPW,,,data/blau/blau-20170122,,player,,Merle,,Harris,,,
,London,1925,,Michigan-Ontario League,,data/PTYQYMX,,,data/blau/blau-20170625,,player,,Pete,,Harris,,,
,Chambersburg,1928,,Blue Ridge League,,data/XKCTQDQ,,,data/blau/blau-20170521,,player,,Tex,,Harris,,,
,Chambersburg,1929,,Blue Ridge League,,data/XKCTQDQ,,,data/blau/blau-20170521,,player,,Tex,,Harris,,,
,Charleston,1914,,South Atlantic League,,data/TZLQWVM,,,data/morris/1915SouthAtlantic/ColumbiaState/22,,player,,,,Harris,,,
,Augusta,1915,,South Atlantic League,,data/WPLCPSL,,P,data/morris/1915SouthAtlantic/AugustaChronicle/7,,player,,,,Harris,,,
,Augusta,1915,,South Atlantic League,,data/TRNLXXL,,P,data/morris/1915SouthAtlantic/ColumbiaRecord/1,,player,,,,Harris,,,
,Columbia,1915,,South Atlantic League,,data/TZLQWVM,,SS,data/morris/1915SouthAtlantic/ColumbiaState/22,,player,,,,Harris,,,
