date,height,meta,person,place,source,throws,weight
1915,,,_subject,"US, WV, Mannington",data/morris/1915Buckeye/NewarkDailyAdvocate/4,,
1915,,,_subject,"US, OH, Columbus",data/morris/1915Buckeye/NewarkDailyAdvocate/8,,
1915,,,_subject,"US, OH, Millersport",data/morris/1915Buckeye/NewarkDailyAdvocate/33,,
1915,,,_subject,"US, TN, Bristol",data/morris/1915Buckeye/NewarkDailyAdvocate/34,,
1915,,,_subject,"US, OH, Belmont",data/morris/1915Buckeye/NewarkDailyAdvocate/35,,
1915,,,_subject,"US, OH, Newark",data/morris/1915Buckeye/NewarkDailyAdvocate/37,,
1915,,,_subject,"US, OH, Thornport",data/morris/1915Buckeye/NewarkDailyAdvocate/38,,
1915,,,_subject,"US, OH, Newark",data/morris/1915Buckeye/NewarkDailyAdvocate/40,,
1915,,,_subject,"US, OH, Youngstown",data/morris/1915Buckeye/NewarkDailyAdvocate/44,,
1915,,,_subject,"US, PA, Kane",data/morris/1915Buckeye/NewarkDailyAdvocate/45,,
1915,,,_subject,"US, OH, New Straitsville",data/morris/1915Buckeye/NewarkDailyAdvocate/47,,
1915,,,_subject,"US, OH,",data/morris/1915Buckeye/NewarkDailyAdvocate/48,,
1915,,,_subject,"US, OH, New Straitsville",data/morris/1915Buckeye/NewarkDailyAdvocate/52,,
1915,,,_subject,"US, OH, McConnellsville",data/morris/1915Buckeye/NewarkDailyAdvocate/54,,
1915,,,_subject,"US, IN, Lebonnon [Lebanon]",data/morris/1915Buckeye/NewarkDailyAdvocate/62,,
1915,,,_subject,"US, OH, Pickerington",data/morris/1915Buckeye/NewarkDailyAdvocate/64,,
1915,,,_subject,"US, OH, Jersey [Licking County]",data/morris/1915Buckeye/NewarkDailyAdvocate/67,,
,,,_subject,,data/morris/1915Buckeye/NewarkDailyAdvocate/67,Right,
1915,,,_subject,"US, IN, Lebannon [Lebanon]",data/morris/1915Buckeye/NewarkDailyAdvocate/68,,
1915,,,_subject,"US, PA, Pittsburgh",data/morris/1915Buckeye/NewarkDailyAdvocate/69,,
1915,,,_subject,"US, OH, Pataskala",data/morris/1915Buckeye/NewarkDailyAdvocate/72,,
1915,,,_subject,"US, OH, Mt. Vernon",data/morris/1915Buckeye/NewarkDailyAdvocate/74,,
1915,,,_subject,"US, OH, Uniontown",data/morris/1915Buckeye/NewarkDailyAdvocate/81,,
1915,,,_subject,"US, OH, Dennison",data/morris/1915Buckeye/ZanesvilleTimesRecorder/2,,
1915,,,_subject,"US, PA, Millersburg",data/morris/1915NorthCarolinaState/AshevilleCitizenTimes/9,,
1915,,,_subject,"US, NC, Judson",data/morris/1915NorthCarolinaState/AshevilleCitizenTimes/10,,
1915,,,_subject,"US, NC, Asheville",data/morris/1915NorthCarolinaState/AshevilleCitizenTimes/15,,
1915,,,_subject,"US, CT, New Britain",data/morris/1915NorthCarolinaState/AshevilleCitizenTimes/17,,
1915,,,_subject,"US, CT, Hartford",data/morris/1915NorthCarolinaState/AshevilleGazetteNews/2,,
1915,,,_subject,"US, NC, Rutherfordton",data/morris/1915NorthCarolinaState/AshevilleGazetteNews/9,,
1914,,,_subject,"US, VA, Big Stone Gap",data/morris/1915NorthCarolinaState/BigStoneGapPos/1,,
1915,,,_subject,"US, WV, Gary",data/morris/1915NorthCarolinaState/BluefieldDailyTelegraph/1,,
1915,,,_subject,"US, VA, Dante",data/morris/1915NorthCarolinaState/BluefieldDailyTelegraph/2,,
1915,,,_subject,"US, PA, Shamokin",data/morris/1915NorthCarolinaState/CharlotteNews/5,,
1915,,,_subject,"US, KS, Topeka",data/morris/1915NorthCarolinaState/CharlotteNews/10,,
1915,,,_subject,"US, SC, Piedmont",data/morris/1915NorthCarolinaState/CharlotteNews/13,,
1915,,,_subject,"US, SC, Piedmont",data/morris/1915NorthCarolinaState/CharlotteNews/14,,
1915,,,_subject,"US, GA,",data/morris/1915NorthCarolinaState/CharlotteNews/19,,
1915,,,_subject,"US, OH, Jobs",data/morris/1915NorthCarolinaState/CharlotteObserver/1,,
1915,,,_subject,"US, NC, New Bern",data/morris/1915NorthCarolinaState/CharlotteObserver/2,,
1915,,,_subject,"US, NY, Brooklyn",data/morris/1915NorthCarolinaState/CharlotteObserver/3,,
1915,,,_subject,"US, MD, Baltimore",data/morris/1915NorthCarolinaState/CharlotteObserver/4,,
1915,,,_subject,"US, OH, Portsmouth",data/morris/1915NorthCarolinaState/CharlotteObserver/6,,
1915,,,_subject,"US, MD, Sparrow's Point",data/morris/1915NorthCarolinaState/CharlotteObserver/8,,
1915,,,_subject,"US, NC, Hickory",data/morris/1915NorthCarolinaState/CharlotteObserver/9,,
1915,,,_subject,"US, NC, Troy",data/morris/1915NorthCarolinaState/CharlotteObserver/10,,
1915,,,_subject,"US, NC, Swepsonville",data/morris/1915NorthCarolinaState/CharlotteObserver/11,,
1915,,,_subject,"US, NC, Burlington",data/morris/1915NorthCarolinaState/CharlotteObserver/12,,
1915,,,_subject,"US, NC, Polkton",data/morris/1915NorthCarolinaState/CharlotteObserver/13,,
1915,,,_subject,"US, PA, Sayre",data/morris/1915NorthCarolinaState/CharlotteObserver/14,,
1915,,,_subject,"US, IN, Vincennes",data/morris/1915NorthCarolinaState/CharlotteObserver/15,,
1915,,,_subject,"US, NC, High Point",data/morris/1915NorthCarolinaState/CharlotteObserver/16,,
1915,,,_subject,"US, MD, Baltimore",data/morris/1915NorthCarolinaState/CharlotteObserver/17,,
1915,,,_subject,"US, MD, Baltimore",data/morris/1915NorthCarolinaState/CharlotteObserver/18,,
1915,,,_subject,"US, MD, Relay",data/morris/1915NorthCarolinaState/CharlotteObserver/19,,
1915,,,_subject,"US, PA, West Chester",data/morris/1915NorthCarolinaState/CharlotteObserver/21,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915NorthCarolinaState/CharlotteObserver/23,,
1915,,,_subject,"US, NC, Winston",data/morris/1915NorthCarolinaState/CharlotteObserver/25,,
1915,,,_subject,"US, PA, Shamokin",data/morris/1915NorthCarolinaState/CharlotteObserver/29,,
1915,,,_subject,"US, PA, West Chester",data/morris/1915NorthCarolinaState/CharlotteObserver/31,,
1915,,,_subject,"US, SC, Piedmont",data/morris/1915NorthCarolinaState/CharlotteObserver/34,,
1915,,,_subject,"US, OH, Canton",data/morris/1915NorthCarolinaState/CharlotteObserver/35,,
